,Area,Year,% of total country area cultivated,Arable land area,Cultivated area (arable land + permanent crops),Dependency ratio,Environmental Flow Requirements,GDP per capita,Gross Domestic Product (GDP),Groundwater produced internally,Groundwater: accounted inflow,Groundwater: entering the country (total),Long-term average annual precipitation in depth,Long-term average annual precipitation in volume,Overlap between surface water and groundwater,Overlap: between surface water and groundwater,Permanent crops area,Population density,Rural population,Surface water produced internally,Surface water: accounted flow of border rivers,Surface water: accounted inflow,Surface water: entering the country (total),Surface water: inflow not submitted to treaties,Surface water: inflow secured through treaties,Surface water: inflow submitted to treaties,Surface water: leaving the country to other countries (total),Surface water: outflow to other countries not submitted to treaties,Surface water: outflow to other countries secured through treaties,Surface water: outflow to other countries submitted to treaties,Surface water: total external renewable,Surface water: total flow of border rivers,Total area of the country (excl. coastal waters),Total internal renewable water resources (IRWR),Total internal renewable water resources per capita,Total population,Total renewable groundwater,Total renewable surface water,Total renewable water resources,Total renewable water resources per capita,Urban population,Water resources: total external renewable
251,Italy,1985,40.05,9065.0,12070.0,4.6,77.81,14066.0,803000000000.0,43.0,0.0,0.0,832.0,250.7,31.0,31.0,3005.0,189.5,19139.0,170.5,0.0,8.8,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,30134.0,182.5,3197.0,57089.0,43.0,179.3,191.3,3351.0,37950.0,8.8
253,Japan,1985,14.13,4814.0,5340.0,0.0,212.5,20230.0,2490000000000.0,27.0,0.0,0.0,1668.0,630.2,17.0,17.0,526.0,325.8,29943.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37780.0,430.0,3494.0,123083.0,27.0,420.0,430.0,3494.0,93140.0,0.0
255,Kenya,1985,8.847999999999999,4655.0,5135.0,32.57,18.57,377.4,7970000000.0,3.5,0.0,0.0,630.0,365.6,3.0,3.0,480.0,36.39,17677.0,20.2,0.0,10.0,10.0,10.0,0.0,0.0,8.9,8.9,0.0,0.0,10.0,0.0,58037.0,20.7,980.2,21119.0,3.5,30.2,30.7,1454.0,3442.0,10.0
260,Lesotho,1985,10.87,326.0,330.0,0.0,1.315,242.2,369000000.0,0.5,0.0,0.0,788.0,23.92,0.5,0.5,4.0,50.23,1337.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.992,2.208,2.208,-2.208,0.0,3036.0,5.23,3430.0,1525.0,0.5,3.022,3.022,1982.0,188.4,-2.208
265,Madagascar,1985,5.519,2680.0,3240.0,0.0,217.5,240.9,2570000000.0,55.0,0.0,0.0,1513.0,888.2,50.0,50.0,560.0,18.14,8328.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58704.0,337.0,31649.0,10648.0,55.0,332.0,337.0,31649.0,2320.0,0.0
266,Malawi,1985,19.16,2150.0,2270.0,6.597,9.529,145.7,1180000000.0,2.5,0.0,0.0,1181.0,139.9,2.5,2.5,120.0,68.53,7253.0,16.14,0.14,1.14,1.0,1.0,0.0,0.0,16.98,16.98,0.0,0.0,1.14,0.0,11848.0,16.14,1988.0,8120.0,2.5,17.28,17.28,2128.0,867.3,1.14
267,Malaysia,1985,17.54,901.4,5801.0,0.0,385.0,1947.0,32200000000.0,64.0,0.0,0.0,2875.0,951.0,50.0,50.0,4900.0,49.95,8599.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33080.0,580.0,35098.0,16525.0,64.0,566.0,580.0,35098.0,7926.0,0.0
269,Mali,1985,1.6980000000000002,2036.0,2106.0,50.0,55.2,259.1,2090000000.0,20.0,0.0,0.0,282.0,349.7,10.0,10.0,70.0,6.505,6388.0,50.0,0.0,60.0,60.0,60.0,0.0,0.0,50.0,50.0,0.0,0.0,60.0,0.0,124019.0,60.0,7437.0,8068.0,20.0,110.0,120.0,14874.0,1680.0,60.0
272,Mauritania,1985,0.3347,340.0,345.0,96.49,1.222,486.3,910000000.0,0.3,0.0,0.0,92.0,94.82,0.0,0.0,5.0,1.815,1156.0,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,103070.0,0.4,213.8,1871.0,0.3,11.1,11.4,6093.0,714.6,11.0
274,Mexico,1985,10.93,19234.0,21470.0,11.53,195.3,1739.0,140000000000.0,150.0,0.0,0.0,758.0,1489.0,91.0,91.0,2236.0,40.98,23834.0,350.0,0.0,53.32,53.31,51.47,1.85,1.85,19.14,18.71,0.43200000000000005,0.43200000000000005,52.88,0.0,196438.0,409.0,5081.0,80503.0,150.0,402.9,461.9,5738.0,56669.0,52.88
277,Mongolia,1985,0.8535,1334.0,1335.0,0.0,21.18,1486.0,3020000000.0,6.1,0.0,0.0,241.0,377.0,4.0,4.0,1.0,1.3,890.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,26.4,26.4,0.0,0.0,0.0,0.0,156412.0,34.8,17118.0,2033.0,6.1,32.7,34.8,17118.0,1143.0,0.0
278,Morocco,1985,19.63,8166.0,8766.0,0.0,8.167,926.3,21800000000.0,10.0,0.0,0.0,346.0,154.5,3.0,3.0,600.0,52.62,12747.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,44655.0,29.0,1234.0,23498.0,10.0,22.0,29.0,1234.0,10751.0,0.0
279,Mozambique,1985,4.416,3300.0,3530.0,53.8,133.0,180.8,2350000000.0,17.0,0.0,0.0,1032.0,825.0,14.0,14.0,230.0,16.29,10237.0,97.3,0.0,116.8,116.8,116.8,0.0,0.0,1.0,1.0,0.0,0.0,116.8,0.0,79938.0,100.3,7703.0,13021.0,17.0,214.1,217.1,16673.0,2784.0,116.8
281,Namibia,1985,0.8031,660.0,662.0,84.57,7.19,1854.0,2310000000.0,2.1,0.0,0.0,285.0,234.9,0.04,0.04,2.0,1.5119999999999998,910.8,4.1,22.75,33.75,11.0,10.95,0.05,0.05,9.65,9.65,0.0,0.0,33.75,53.86,82429.0,6.16,4944.0,1246.0,2.1,37.85,39.91,32030.0,335.2,33.75
283,Nepal,1985,15.89,2310.0,2339.0,5.709,95.94,169.2,2960000000.0,20.0,0.0,0.0,1500.0,220.8,20.0,20.0,29.0,118.8,16139.0,198.2,0.0,12.0,12.0,12.0,0.0,0.0,210.2,210.2,0.0,0.0,12.0,0.0,14718.0,198.2,11338.0,17481.0,20.0,210.2,210.2,12024.0,1342.0,12.0
284,Netherlands,1985,21.43,861.0,890.0,87.91,38.33,16482.0,242000000000.0,4.5,0.0,0.0,778.0,32.31,4.5,4.5,29.0,353.6,4817.0,11.0,0.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,4153.0,11.0,749.2,14683.0,4.5,91.0,91.0,6198.0,9866.0,80.0
286,Nicaragua,1985,11.04,1250.0,1439.0,5.051,107.2,991.8,3850000000.0,59.0,0.0,0.0,2280.0,297.2,55.39,55.39,189.0,29.78,1882.0,152.6,0.0,8.31,8.31,8.31,0.0,0.0,0.0,0.0,0.0,0.0,8.31,0.0,13037.0,156.2,40227.0,3883.0,59.0,160.9,164.5,42364.0,2001.0,8.31
287,Niger,1985,7.507000000000001,9502.0,9512.0,89.72,10.61,304.9,2230000000.0,2.5,0.0,0.0,151.0,191.3,0.0,0.0,10.0,5.781000000000001,6260.0,1.0,1.35,30.55,29.2,29.2,0.0,0.0,32.4,32.4,0.0,0.0,30.55,2.7,126700.0,3.5,477.9,7324.0,2.5,31.55,34.05,4649.0,1064.0,30.55
288,Nigeria,1985,34.08,27882.0,31482.0,22.78,157.2,273.5,24100000000.0,87.0,0.0,0.0,1150.0,1062.0,80.0,80.0,3600.0,95.37,64046.0,214.0,0.0,65.2,65.2,65.2,0.0,0.0,2.9,2.9,0.0,0.0,65.2,0.0,92377.0,221.0,2508.0,88102.0,87.0,279.2,286.2,3249.0,24056.0,65.2
290,Norway,1985,2.256,865.0,869.0,2.799,261.5,22505.0,94200000000.0,96.0,0.0,0.0,1414.0,544.6,90.0,90.0,4.0,10.87,1194.0,376.0,0.0,11.0,11.0,11.0,0.0,0.0,10.0,10.0,0.0,0.0,11.0,0.0,38518.0,382.0,91235.0,4187.0,96.0,387.0,393.0,93862.0,2993.0,11.0
293,Pakistan,1985,39.78,31250.0,31671.0,77.71,83.79,339.1,33400000000.0,55.0,0.0,0.0,494.0,393.3,47.4,47.4,421.0,123.5,68142.0,47.4,0.0,191.8,265.1,21.5,170.3,243.6,10.72,10.72,0.0,0.0,191.8,0.0,79610.0,55.0,559.2,98357.0,55.0,239.2,246.8,2509.0,30215.0,191.8
295,Panama,1985,8.154,475.0,615.0,1.9409999999999998,4.864,2575.0,5970000000.0,21.0,0.0,0.0,2928.0,220.8,17.6,17.6,140.0,30.73,1086.0,133.2,2.7039999999999997,2.7039999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7039999999999997,5.409,7542.0,136.6,58930.0,2318.0,21.0,135.9,139.3,60095.0,1232.0,2.7039999999999997
296,Papua New Guinea,1985,1.569,186.0,726.0,0.0,504.5,786.4,3140000000.0,211.6,0.0,0.0,3142.0,1454.0,211.6,211.6,540.0,8.638,3442.0,801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46284.0,801.0,200350.0,3998.0,211.6,801.0,801.0,200350.0,556.2,0.0
297,Paraguay,1985,5.132999999999999,1990.0,2088.0,69.83,256.3,972.5,3780000000.0,41.64,0.0,0.0,1130.0,459.6,41.64,41.64,98.0,9.551,2064.0,117.0,197.5,270.8,73.27,73.27,0.0,0.0,125.6,125.6,0.0,0.0,270.8,395.1,40675.0,117.0,30116.0,3885.0,41.64,387.8,387.8,99820.0,1821.0,270.8
298,Peru,1985,2.949,3400.0,3790.0,12.7,1343.0,985.4,20200000000.0,303.0,0.0,0.0,1738.0,2234.0,303.0,303.0,390.0,15.91,6628.0,1641.0,110.0,238.8,128.8,128.8,0.0,0.0,1868.0,1868.0,0.0,0.0,238.8,250.0,128522.0,1641.0,80237.0,20452.0,303.0,1880.0,1880.0,91923.0,13824.0,238.8
299,Philippines,1985,32.73,5420.0,9820.0,0.0,151.9,579.2,33200000000.0,180.0,0.0,0.0,2348.0,704.4,145.0,145.0,4400.0,191.0,31325.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,479.0,8358.0,57313.0,180.0,444.0,479.0,8358.0,25988.0,0.0
304,Republic of Korea,1985,21.59,2007.0,2143.0,6.957999999999999,35.44,3622.0,151000000000.0,13.3,0.0,0.0,1274.0,126.5,10.7,10.7,136.0,420.0,13178.0,62.25,0.0,4.85,4.85,4.85,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,9926.0,64.85,1555.0,41691.0,13.3,67.1,69.7,1672.0,28513.0,4.85
305,Romania,1985,44.83,10080.0,10686.0,80.01,105.2,1633.0,38100000000.0,8.38,0.08,0.08,637.0,151.9,8.0,8.0,606.0,97.79,11496.0,42.0,1.45,169.5,168.1,168.1,0.0,0.0,22.5,22.5,0.0,0.0,169.5,2.9,23839.0,42.38,1818.0,23312.0,8.46,211.5,212.0,9094.0,11816.0,169.6
306,Rwanda,1985,43.36,842.0,1142.0,28.57,10.28,320.5,2160000000.0,7.0,0.0,0.0,1212.0,31.92,7.0,7.0,300.0,255.6,6382.0,9.5,0.0,3.8,3.8,3.8,0.0,0.0,6.145,6.145,0.0,0.0,3.8,0.0,2634.0,9.5,1411.0,6732.0,7.0,13.3,13.3,1976.0,350.4,3.8
314,Senegal,1985,15.92,3104.0,3132.0,33.8,20.16,731.2,5040000000.0,3.5,0.0,0.0,686.0,134.9,1.5,1.5,28.0,35.05,4274.0,23.8,11.0,13.17,2.17,2.17,0.0,0.0,5.4,5.4,0.0,0.0,13.17,22.0,19671.0,25.8,3742.0,6894.0,3.5,36.97,38.97,5653.0,2620.0,13.17
316,Sierra Leone,1985,8.575,485.0,620.0,0.0,117.2,173.8,701000000.0,25.0,0.0,0.0,2526.0,182.6,15.0,15.0,135.0,55.81,2798.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7230.0,160.0,39653.0,4035.0,25.0,150.0,160.0,39653.0,1237.0,0.0
320,South Africa,1985,10.54,12550.0,12850.0,12.84,20.12,2952.0,104000000000.0,4.8,0.0,0.0,495.0,603.4,3.0,3.0,300.0,28.9,17848.0,43.0,0.0,6.6,6.6,4.3919999999999995,2.208,2.208,10.85,10.55,0.05,0.05,6.55,0.0,121909.0,44.8,1272.0,35230.0,4.8,49.55,51.35,1458.0,17382.0,6.55
322,Sri Lanka,1985,28.88,895.0,1895.0,0.0,38.54,401.4,6680000000.0,7.8,0.0,0.0,1712.0,112.3,7.0,7.0,1000.0,253.7,13552.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6561.0,52.8,3172.0,16648.0,7.8,52.0,52.8,3172.0,3096.0,0.0
323,Suriname,1985,0.4151,57.0,68.0,0.0,83.41,2554.0,980000000.0,90.0,0.0,0.0,2331.0,381.9,90.0,90.0,11.0,2.342,130.4,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16382.0,99.0,258014.0,383.7,90.0,99.0,99.0,258014.0,253.3,0.0
324,Sweden,1985,6.417999999999999,2886.0,2890.0,1.724,104.7,21375.0,180000000000.0,20.0,0.0,0.0,624.0,281.0,19.0,19.0,4.0,18.7,1429.0,170.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,45030.0,171.0,20306.0,8421.0,20.0,173.0,174.0,20663.0,6992.0,3.0
325,Switzerland,1985,10.21,398.7,421.7,24.49,27.28,29547.0,193000000000.0,2.5,0.0,0.0,1537.0,63.46,2.5,2.5,23.0,158.2,2056.0,40.4,0.0,13.1,13.1,13.1,0.0,0.0,40.4,40.4,0.0,0.0,13.1,0.0,4129.0,40.4,6185.0,6532.0,2.5,53.5,53.5,8190.0,4476.0,13.1
327,Thailand,1985,39.93,17930.0,20490.0,48.81,189.6,936.5,50500000000.0,41.9,0.0,0.0,1622.0,832.3,30.69,30.69,2560.0,105.2,38507.0,213.3,214.1,214.1,0.0,0.0,0.0,0.0,61.25,61.25,0.0,0.0,214.1,480.0,51312.0,224.5,4160.0,53964.0,41.9,427.4,438.6,8128.0,15457.0,214.1
329,Togo,1985,37.15,2020.0,2110.0,21.77,8.125,359.6,1250000000.0,5.7,0.0,0.0,1168.0,66.33,5.0,5.0,90.0,61.17,2524.0,10.8,0.0,3.2,3.2,3.2,0.0,0.0,9.592,9.592,0.0,0.0,3.2,0.0,5679.0,11.5,3310.0,3474.0,5.7,14.0,14.7,4231.0,950.2,3.2
332,Trinidad and Tobago,1985,12.67,35.0,65.0,0.0,2.186,4015.0,4800000000.0,0.614,0.0,0.0,2200.0,11.29,0.514,0.514,30.0,232.9,1086.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,3.84,3213.0,1195.0,0.614,3.74,3.84,3213.0,109.1,0.0
333,Tunisia,1985,29.7,2980.0,4860.0,9.101,0.6767,1261.0,9700000000.0,1.495,0.1,0.1,207.0,33.87,0.4,0.4,1880.0,47.01,3493.0,3.1,0.0,0.32,0.32,0.32,0.0,0.0,0.16,0.177,0.0,0.0,0.32,0.0,16361.0,4.195,545.4,7692.0,1.595,3.42,4.615,600.0,4199.0,0.42
334,Turkey,1985,35.56,24964.0,27927.0,1.518,76.97,212.4,87200000000.0,69.0,-1.2,0.0,593.0,465.7,28.0,28.0,2963.0,522.6,382125.0,186.0,2.9,4.7,1.8,1.8,0.0,0.0,60.12,41.22,18.9,15.75,-14.2,5.8,78535.0,227.0,553.1,410401.0,67.8,171.8,211.6,515.6,28276.0,-15.4
336,Uganda,1985,27.76,5000.0,6705.0,35.11,49.17,399.5,6270000000.0,29.0,0.0,0.0,1180.0,285.0,29.0,29.0,1705.0,64.98,14140.0,39.0,0.0,21.1,21.1,21.1,0.0,0.0,37.0,37.0,0.0,0.0,21.1,0.0,24155.0,39.0,2485.0,15695.0,29.0,60.1,60.1,3829.0,1555.0,21.1
338,United Kingdom,1985,28.75,6935.0,7003.0,1.361,88.35,13137.0,745000000000.0,9.8,0.0,0.0,1220.0,297.2,9.0,9.0,68.0,232.8,12276.0,144.2,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,24361.0,145.0,2557.0,56709.0,9.8,146.2,147.0,2592.0,44433.0,2.0
340,United States of America,1985,19.5,185742.0,187776.0,8.179,1491.0,19845.0,4870000000000.0,1383.0,0.0,0.0,715.0,6885.0,1227.0,1227.0,2034.0,25.49,60789.0,2662.0,0.0,251.0,251.0,251.0,0.0,0.0,10.5,10.5,0.0,0.0,251.0,0.0,962909.0,2818.0,11483.0,245403.0,1383.0,2913.0,3069.0,12506.0,184614.0,251.0
341,Uruguay,1985,7.5760000000000005,1291.0,1335.0,46.46,134.8,2416.0,7370000000.0,22.9,0.0,0.0,1300.0,229.1,22.9,22.9,44.0,17.31,368.0,92.2,75.0,80.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,150.0,17622.0,92.2,30230.0,3050.0,22.9,172.2,172.2,56459.0,2682.0,80.0
343,Venezuela (Bolivarian Republic of),1985,4.232,3097.0,3860.0,39.25,1025.0,2459.0,45300000000.0,227.0,0.0,0.0,2044.0,1864.0,204.7,204.7,763.0,20.22,3287.0,782.7,25.0,520.0,495.0,495.0,0.0,0.0,160.0,160.0,0.0,0.0,520.0,50.0,91205.0,805.0,43660.0,18438.0,227.0,1303.0,1325.0,71862.0,15151.0,520.0
344,Viet Nam,1985,19.33,5527.0,6387.0,59.35,432.6,573.8,36700000000.0,71.42,0.0,0.0,1821.0,601.6,35.0,35.0,860.0,193.4,51178.0,323.0,0.0,524.7,524.7,524.7,0.0,0.0,37.15,37.15,0.0,0.0,524.7,0.0,33035.0,359.4,5626.0,63881.0,71.42,847.7,884.1,13840.0,12703.0,524.7
346,Zambia,1985,3.4360000000000004,2568.0,2586.0,23.47,49.36,306.7,2270000000.0,47.0,0.0,0.0,1020.0,767.7,47.0,47.0,18.0,9.814,4521.0,80.2,0.0,24.6,24.6,24.6,0.0,0.0,104.3,104.3,0.0,0.0,24.6,0.0,75261.0,80.2,10858.0,7386.0,47.0,104.8,104.8,14189.0,2865.0,24.6
347,Zimbabwe,1985,7.396,2790.0,2890.0,38.7,9.347999999999999,725.4,6740000000.0,6.0,0.0,0.0,657.0,256.7,5.0,5.0,100.0,23.78,6739.0,11.26,7.74,7.74,0.0,0.0,0.0,0.0,14.14,14.14,0.0,0.0,7.74,39.9,39076.0,12.26,1319.0,9293.0,6.0,19.0,20.0,2152.0,2554.0,7.74
349,Albania,1990,24.45,578.0,703.0,10.93,13.56,218.9,709000000.0,6.2,0.0,0.0,1485.0,42.69,2.35,2.35,125.0,112.7,1957.0,23.05,0.0,3.3,3.3,3.3,0.0,0.0,11.5,11.5,0.0,0.0,3.3,0.0,2875.0,26.9,8300.0,3241.0,6.2,26.35,30.2,9318.0,1284.0,3.3
350,Algeria,1990,3.398,7562.0,8094.0,3.5989999999999998,4.56,1766.0,48000000000.0,1.4869999999999999,0.03,0.03,89.0,212.0,0.0,0.0,532.0,11.41,12406.0,9.76,0.0,0.39,0.39,0.39,0.0,0.0,0.32,0.32,0.0,0.0,0.39,0.0,238174.0,11.25,413.9,27181.0,1.517,10.15,11.67,429.3,14775.0,0.42
354,Argentina,1990,10.0,26785.0,27805.0,66.67,515.8,6804.0,229000000000.0,128.0,0.0,0.0,591.0,1643.0,112.0,112.0,1020.0,12.1,4310.0,276.0,67.94,584.2,516.3,516.3,0.0,0.0,48.0,48.0,0.0,0.0,584.2,135.9,278040.0,292.0,8676.0,33655.0,128.0,860.2,876.2,26035.0,29345.0,584.2
356,Australia,1990,6.12,47200.0,47378.0,0.0,243.3,18586.0,325000000000.0,72.0,0.0,0.0,534.0,4134.0,20.0,20.0,178.0,2.259,2488.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774122.0,492.0,28137.0,17486.0,72.0,440.0,492.0,28137.0,14998.0,0.0
357,Austria,1990,17.95,1436.0,1506.0,29.21,41.51,24901.0,195000000000.0,6.0,0.0,0.0,1110.0,93.11,6.0,6.0,70.0,93.36,2700.0,55.0,0.0,22.7,22.7,22.7,0.0,0.0,77.7,77.7,0.0,0.0,22.7,0.0,8388.0,55.0,7023.0,7831.0,6.0,77.7,77.7,9922.0,5131.0,22.7
361,Bangladesh,1990,60.28,8609.0,8949.0,91.44,600.3,285.1,31700000000.0,21.09,0.032,0.032,2666.0,395.8,0.0,0.0,340.0,749.2,88050.0,83.91,0.0,1122.0,1122.0,1122.0,0.0,0.0,0.057,0.057,0.0,0.0,1122.0,0.0,14846.0,105.0,944.1,111222.0,21.12,1206.0,1227.0,11032.0,23172.0,1122.0
365,Belize,1990,3.7880000000000003,56.0,87.0,29.79,13.72,2667.0,518000000.0,7.51,0.0,0.0,1705.0,39.16,7.51,7.51,31.0,8.459,102.0,15.26,0.43200000000000005,6.474,6.042000000000001,6.042000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.474,0.8640000000000001,2297.0,15.26,78538.0,194.3,7.51,21.73,21.73,111837.0,92.28,6.474
366,Benin,1990,15.21,1630.0,1745.0,60.97,13.06,318.0,1700000000.0,1.8,0.0,0.0,1039.0,119.2,1.5,1.5,115.0,46.46,3405.0,10.0,16.09,16.09,0.0,0.0,0.0,0.0,5.8,5.8,0.0,0.0,16.09,32.19,11476.0,10.3,1932.0,5332.0,1.8,26.09,26.39,4949.0,1927.0,16.09
367,Bhutan,1990,3.2769999999999997,135.0,154.0,0.0,54.1,471.9,251000000.0,9.5,0.0,0.0,2200.0,103.4,9.5,9.5,19.0,11.31,436.6,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,0.0,0.0,0.0,0.0,4700.0,95.0,178739.0,531.5,9.5,95.0,95.0,178739.0,94.9,0.0
368,Bolivia (Plurinational State of),1990,2.122,2150.0,2331.0,47.13,396.6,791.3,5640000000.0,130.0,0.0,0.0,1146.0,1259.0,103.9,103.9,181.0,6.492000000000001,3033.0,277.4,11.5,270.5,259.0,259.0,0.0,0.0,566.0,566.0,0.0,0.0,270.5,15.0,109858.0,303.5,42555.0,7132.0,130.0,547.9,574.0,80482.0,4099.0,270.5
370,Botswana,1990,0.4315,250.0,251.0,80.39,2.677,2848.0,4150000000.0,1.7,0.0,0.0,416.0,242.0,0.1,0.1,1.0,2.503,775.6,0.8,0.8,9.84,9.04,9.04,0.0,0.0,0.6,0.6,0.0,0.0,9.84,1.6,58173.0,2.4,1648.0,1456.0,1.7,10.64,12.24,8407.0,680.4,9.84
371,Brazil,1990,6.928,51803.0,59000.0,34.53,6532.0,2594.0,401000000000.0,645.6,0.0,0.0,1761.0,14995.0,645.6,645.6,7197.0,18.15,37929.0,5661.0,0.0,2986.0,2986.0,2986.0,0.0,0.0,585.7,585.7,0.0,0.0,2986.0,0.0,851577.0,5661.0,36626.0,154564.0,645.6,8647.0,8647.0,55944.0,116635.0,2986.0
372,Brunei Darussalam,1990,1.04,2.0,6.0,0.0,5.846,15268.0,4180000000.0,0.1,0.0,0.0,2722.0,15.71,0.1,0.1,4.0,47.49,91.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,8.5,31022.0,274.0,0.1,8.5,8.5,31022.0,182.4,0.0
373,Bulgaria,1990,39.01,4047.0,4330.0,1.4080000000000001,7.771,1193.0,10400000000.0,6.4,0.0,0.0,608.0,67.48,5.5,5.5,283.0,78.17,2873.0,20.1,0.0,0.3,0.3,0.3,0.0,0.0,16.9,16.9,0.0,0.0,0.3,179.0,11099.0,21.0,2420.0,8676.0,6.4,20.4,21.3,2455.0,5803.0,0.3
374,Burkina Faso,1990,12.85,3455.0,3525.0,7.407,3.04,241.0,2240000000.0,9.5,0.0,0.0,748.0,205.1,5.0,5.0,70.0,33.9,7965.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2,15.2,0.0,0.0,1.0,0.0,27422.0,12.5,1345.0,9297.0,9.5,9.0,13.5,1452.0,1332.0,1.0
375,Burundi,1990,46.71,930.0,1300.0,19.75,9.788,191.3,1080000000.0,7.47,0.0,0.0,1274.0,35.46,7.47,7.47,370.0,203.4,5271.0,10.06,2.35,2.476,0.126,0.126,0.0,0.0,7.6,7.6,0.0,0.0,2.476,4.7,2783.0,10.06,1777.0,5661.0,7.47,12.54,12.54,2215.0,390.4,2.476
378,Cameroon,1990,15.06,5960.0,7160.0,3.585,213.4,918.4,11400000000.0,100.0,0.0,0.0,1604.0,762.6,95.0,95.0,1200.0,26.1,7186.0,268.0,6.15,10.15,4.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0,10.15,12.3,47544.0,273.0,22000.0,12409.0,100.0,278.1,283.1,22814.0,5223.0,10.15
381,Chad,1990,2.625,3342.0,3370.0,67.18,25.22,296.4,1880000000.0,11.5,0.0,0.0,322.0,413.4,10.0,10.0,28.0,4.945,5003.0,13.5,0.0,30.7,30.7,30.7,0.0,0.0,10.15,10.15,0.0,0.0,30.7,0.0,128400.0,15.0,2363.0,6349.0,11.5,44.2,45.7,7198.0,1346.0,30.7
382,Chile,1990,3.5789999999999997,2440.0,2706.0,4.123,529.3,3253.0,44500000000.0,140.0,0.0,0.0,1522.0,1151.0,140.0,140.0,266.0,18.08,2217.0,885.0,0.0,38.06,38.06,38.06,0.0,0.0,3.15,3.15,0.0,0.0,38.06,0.0,75610.0,885.0,64736.0,13671.0,140.0,923.1,923.1,67522.0,11454.0,38.06
383,China,1990,13.71,123562.0,131583.0,0.9619,1471.0,345.2,425000000000.0,828.8,0.0,0.0,645.0,6192.0,727.9,727.9,8021.0,128.2,872727.0,2712.0,10.15,27.32,17.17,17.17,0.0,0.0,718.8,718.8,0.0,0.0,27.32,20.3,960000.0,2813.0,2285.0,1231002.0,828.8,2739.0,2840.0,2307.0,358275.0,27.32
384,Colombia,1990,4.292,3070.0,4900.0,9.11,1692.0,1386.0,49300000000.0,510.0,0.0,0.0,3240.0,3699.0,510.0,510.0,1830.0,31.14,11572.0,2145.0,0.0,215.0,215.0,215.0,0.0,0.0,1375.0,1375.0,0.0,0.0,215.0,0.0,114175.0,2145.0,60322.0,35559.0,510.0,2360.0,2360.0,66369.0,23987.0,215.0
388,Costa Rica,1990,9.98,250.0,510.0,0.0,54.4,2632.0,8570000000.0,37.31,0.0,0.0,2926.0,149.5,37.31,37.31,260.0,63.74,1581.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,9.655,9.655,0.0,0.0,0.0,0.0,5110.0,113.0,34695.0,3257.0,37.31,113.0,113.0,34695.0,1676.0,0.0
390,Cuba,1990,37.08,3575.0,4075.0,0.0,9.055,2058.0,22100000000.0,6.48,0.0,0.0,1335.0,146.7,0.0,0.0,500.0,97.67,2791.0,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.0,38.12,3552.0,10733.0,6.48,31.64,38.12,3552.0,7942.0,0.0
391,Cyprus,1990,16.82,107.6,155.6,0.0,0.0484,8634.0,6910000000.0,0.41,0.0,0.0,498.0,4.606,0.19,0.19,48.0,86.55,259.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.78,974.3,800.6,0.41,0.56,0.78,974.3,541.2,0.0
